Standard_Code,Description
CCSS.L.8.2.a,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break."
CCSS.L.8.2.b,Use an ellipsis to indicate an omission.
CCSS.L.8.2.c,Spell correctly.
CCSS.Knowledge of Language:,
CCSS.L.8.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
CCSS.L.8.3.a,"Use verbs in the active and passive voice and in the conditional and subjunctive mood to achieve particular effects (e.g., emphasizing the actor or the action; expressing uncertainty or describing a state contrary to fact)."
CCSS.Vocabulary Acquisition and Use:,
CCSS.L.8.4,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies."
CCSS.L.8.4.a,"Use context (e.g., the overall meaning of a sentence or paragraph; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
CCSS.L.8.4.b,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede)."
CCSS.L.8.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
CCSS.L.8.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
CCSS.L.8.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
CCSS.L.8.5.a,"Interpret figures of speech (e.g. verbal irony, puns) in context."
CCSS.L.8.5b,Use the relationship between particular words to better understand each of the words.
CCSS.L.8.5c,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute)."
CCSS.L.8.6,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
